n,scheduler,run,aoi_ms,peak_ms,duty
20,EqualInterval,1,16.8,30.8,0.03946
20,EqualInterval,2,16.85,30.85,0.03942
20,EqualInterval,3,16.79,30.79,0.03945
20,EnergyGreedy,1,13.28,23.97,0.03913
20,EnergyGreedy,2,13.27,23.97,0.03913
20,EnergyGreedy,3,13.28,23.98,0.03913
20,HarmonicGreedy,3,11.22,19.92,0.04419
20,HarmonicGreedy,1,11.22,19.91,0.04419
20,HarmonicGreedy,2,11.22,19.91,0.04419
50,EqualInterval,3,38.67,73.67,0.01577
50,EqualInterval,1,38.54,73.54,0.01578
50,EnergyGreedy,1,29.53,56.07,0.01577
50,EqualInterval,2,38.55,73.55,0.01579
50,EnergyGreedy,3,29.52,56.06,0.01577
50,EnergyGreedy,2,29.53,56.07,0.01577
50,HarmonicGreedy,1,24.61,46.35,0.01768
50,HarmonicGreedy,3,24.61,46.36,0.01768
50,HarmonicGreedy,2,24.61,46.35,0.01768
