n,scheduler,run,aoi_ms,peak_ms,duty
10,HarmonicGreedy,1,18.82,35.48,0.075
10,HarmonicGreedy,2,18.82,35.49,0.075
10,EqualInterval,2,20.9,39.65,0.08001
10,EqualInterval,3,20.9,39.65,0.08001
10,EqualInterval,1,20.9,39.65,0.08001
10,HarmonicGreedy,3,18.82,35.49,0.075
20,EqualInterval,1,32.15,62.15,0.05001
20,EqualInterval,3,32.15,62.15,0.05001
20,HarmonicGreedy,3,32.15,62.15,0.05001
20,HarmonicGreedy,1,32.15,62.15,0.05001
20,HarmonicGreedy,2,32.15,62.15,0.05001
30,HarmonicGreedy,1,47.15,92.15,0.03334
30,EqualInterval,3,47.15,92.15,0.03334
30,HarmonicGreedy,3,47.15,92.15,0.03334
20,EqualInterval,2,32.15,62.15,0.05001
30,EqualInterval,1,47.15,92.15,0.03334
40,HarmonicGreedy,1,62.16,122.16,0.02501
40,EqualInterval,3,62.16,122.16,0.02501
40,HarmonicGreedy,2,62.15,122.16,0.02501
30,HarmonicGreedy,2,47.15,92.15,0.03334
40,EqualInterval,2,62.15,122.16,0.02501
40,EqualInterval,1,62.16,122.16,0.02501
30,EqualInterval,2,47.15,92.15,0.03334
50,HarmonicGreedy,1,77.14,152.15,0.02001
50,EqualInterval,3,77.14,152.15,0.02001
40,HarmonicGreedy,3,62.16,122.16,0.02501
50,EqualInterval,1,77.14,152.15,0.02001
50,EqualInterval,2,77.14,152.15,0.02001
50,HarmonicGreedy,2,77.15,152.16,0.02001
50,HarmonicGreedy,3,77.14,152.15,0.02001
